,station_id,contract_name,station_name,station_address,has_payment_terminal,is_bonus_station,station_status,last_update,is_connected,allows_overflow,shape,overflowStands,position_latitude,position_longitude,totalStands_capacity,totalStands_availabilities.bikes,totalStands_availabilities.stands,totalStands_availabilities.mechanicalBikes,total_electrical_bikes,total_internal_battery_bikes,total_removable_battery_bikes,main_stand_capacity,main_stand_available_bikes,main_stand_available_stands,main_stand_mechanical_bikes,main_stand_electrical_bikes,main_stand_internal_battery_bikes,main_stand_removable_battery_bikes
0,42,dublin,SMITHFIELD NORTH,Smithfield North,False,False,OPEN,2024-12-25 13:50:33,True,False,,,53.349562,-6.278198,30,4,26,3,1,0,1,30,4,26,3,1,0,1
1,30,dublin,PARNELL SQUARE NORTH,Parnell Square North,False,False,OPEN,2024-12-25 13:48:29,True,False,,,53.3537415547453,-6.26530144781526,20,1,19,1,0,0,0,20,1,19,1,0,0,0
2,54,dublin,CLONMEL STREET,Clonmel Street,False,False,OPEN,2024-12-25 13:46:48,True,False,,,53.336021,-6.26298,33,14,19,2,12,0,12,33,14,19,2,12,0,12
3,108,dublin,AVONDALE ROAD,Avondale Road,False,False,OPEN,2024-12-25 13:44:46,True,False,,,53.359405,-6.276142,35,0,35,0,0,0,0,35,0,35,0,0,0,0
4,20,dublin,JAMES STREET EAST,James Street East,False,False,OPEN,2024-12-25 13:44:34,True,False,,,53.336597,-6.248109,30,1,29,1,0,0,0,30,1,29,1,0,0,0
5,56,dublin,MOUNT STREET LOWER,Mount Street Lower,False,False,OPEN,2024-12-25 13:49:59,True,False,,,53.33796,-6.24153,40,10,30,5,5,0,5,40,10,30,5,5,0,5
6,6,dublin,CHRISTCHURCH PLACE,Christchurch Place,False,False,OPEN,2024-12-25 13:41:36,True,False,,,53.343368,-6.27012,20,2,18,2,0,0,0,20,2,18,2,0,0,0
7,18,dublin,GRANTHAM STREET,Grantham Street,False,False,OPEN,2024-12-25 13:43:42,True,False,,,53.334123,-6.265436,30,18,12,12,6,0,6,30,18,12,12,6,0,6
8,32,dublin,PEARSE STREET,Pearse Street,False,False,OPEN,2024-12-25 13:43:51,True,False,,,53.344304,-6.250427,30,16,14,12,4,0,4,30,16,14,12,4,0,4
9,52,dublin,YORK STREET EAST,York Street East,False,False,OPEN,2024-12-25 13:42:29,True,False,,,53.338755,-6.262003,32,3,29,3,0,0,0,32,3,29,3,0,0,0
