time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,coco
2024-12-24 00:00:00,11.4,10.9,97,0.0,0.0,260,25.0,35.2,1022.2,7
2024-12-24 01:00:00,11.8,11.3,97,0.0,0.0,250,22.0,35.2,1022.1,7
2024-12-24 02:00:00,11.9,11.1,95,0.0,0.0,240,18.0,33.3,1021.6,4
2024-12-24 03:00:00,11.8,11.0,95,0.0,0.0,240,22.0,33.3,1022.1,4
2024-12-24 04:00:00,11.5,10.6,94,0.0,0.0,250,22.0,37.0,1022.8,7
2024-12-24 05:00:00,11.4,10.5,94,0.0,0.0,250,22.0,33.3,1022.7,7
2024-12-24 06:00:00,11.2,10.1,93,0.0,0.0,250,22.0,33.3,1022.9,4
2024-12-24 07:00:00,10.9,10.3,96,0.0,0.0,250,18.0,31.5,1023.2,7
2024-12-24 08:00:00,10.8,10.0,95,0.0,0.0,240,14.0,31.5,1023.6,7
2024-12-24 09:00:00,10.7,10.2,97,0.0,0.0,240,14.0,31.5,1023.6,7
2024-12-24 10:00:00,11.3,10.0,92,0.0,0.0,240,14.0,25.9,1024.1,7
2024-12-24 11:00:00,11.0,10.5,97,0.0,0.0,230,14.0,27.8,1024.4,7
2024-12-24 12:00:00,11.4,10.6,95,0.0,0.0,220,14.0,31.5,1024.4,7
2024-12-24 13:00:00,11.5,10.7,95,0.0,0.0,240,14.0,33.3,1024.3,7
2024-12-24 14:00:00,11.9,10.5,91,0.0,0.0,230,18.0,33.3,1024.4,4
2024-12-24 15:00:00,11.6,10.3,92,0.0,0.0,230,18.0,31.5,1024.6,4
2024-12-24 16:00:00,11.7,10.3,91,0.0,0.0,230,14.0,29.6,1025.0,4
2024-12-24 17:00:00,11.9,10.5,91,0.0,0.0,230,14.0,25.9,1025.1,7
2024-12-24 18:00:00,11.5,10.4,93,0.0,0.0,230,11.0,25.9,1025.3,4
2024-12-24 19:00:00,11.2,9.9,92,0.0,0.0,220,14.0,24.1,1025.8,7
2024-12-24 20:00:00,11.4,9.5,88,0.0,0.0,230,14.0,24.1,1026.0,4
2024-12-24 21:00:00,11.0,8.6,85,0.0,0.0,220,11.0,24.1,1026.3,4
2024-12-24 22:00:00,11.1,8.1,82,0.0,0.0,220,14.0,22.2,1026.5,4
2024-12-24 23:00:00,11.2,7.9,80,0.0,0.0,230,14.0,22.2,1026.5,4
2024-12-25 00:00:00,11.0,8.2,83,0.0,0.0,230,14.0,24.1,1026.7,4
2024-12-25 01:00:00,10.9,7.9,82,0.0,0.0,230,14.0,24.1,1026.9,4
2024-12-25 02:00:00,10.6,8.2,85,0.0,0.0,220,14.0,24.1,1027.1,4
2024-12-25 03:00:00,10.3,7.9,85,0.0,0.0,210,18.0,25.9,1027.6,4
2024-12-25 04:00:00,10.2,8.0,86,0.0,0.0,210,11.0,25.9,1027.5,4
2024-12-25 05:00:00,10.5,7.7,83,0.0,0.0,220,11.0,25.9,1027.8,4
2024-12-25 06:00:00,10.4,7.6,83,0.0,0.0,220,14.0,25.9,1027.9,4
2024-12-25 07:00:00,10.5,7.7,83,0.0,0.0,220,14.0,25.9,1028.1,4
2024-12-25 08:00:00,10.2,8.1,87,0.0,0.0,200,11.0,25.9,1028.6,7
2024-12-25 09:00:00,10.3,8.2,87,0.0,0.0,210,18.0,25.9,1029.1,4
2024-12-25 10:00:00,10.3,8.2,87,0.0,0.0,220,14.0,29.6,1029.5,4
2024-12-25 11:00:00,10.6,8.2,85,0.0,0.0,220,18.0,27.8,1029.7,4
2024-12-25 12:00:00,10.8,8.0,83,0.0,0.0,220,18.0,27.8,1029.8,7
2024-12-25 13:00:00,10.7,8.5,86,0.0,0.0,220,18.0,27.8,1029.7,7
2024-12-25 14:00:00,11.0,7.9,81,0.0,0.0,230,18.0,27.8,1029.6,4
2024-12-25 15:00:00,10.9,7.4,79,0.0,0.0,220,14.0,27.8,1029.9,4
2024-12-25 16:00:00,10.7,7.4,80,0.0,0.0,210,14.0,24.1,1030.1,4
2024-12-25 17:00:00,10.9,7.4,79,0.0,0.0,200,14.0,22.2,1030.2,4
2024-12-25 18:00:00,9.7,7.0,83,0.0,0.0,200,14.0,20.4,1030.6,3
2024-12-25 19:00:00,10.4,7.6,83,0.0,0.0,160,7.0,20.4,1030.8,3
2024-12-25 20:00:00,10.0,7.6,85,0.0,0.0,360,4.0,18.5,1030.6,2
2024-12-25 21:00:00,8.9,7.3,90,0.0,0.0,230,7.0,18.5,1030.7,3
2024-12-25 22:00:00,8.8,7.1,89,0.0,0.0,260,11.0,18.5,1030.9,3
2024-12-25 23:00:00,8.7,7.3,91,0.0,0.0,250,18.0,18.5,1031.2,3
2024-12-26 00:00:00,9.1,7.7,91,0.0,0.0,260,14.0,18.5,1031.3,3
2024-12-26 01:00:00,9.3,7.7,90,0.0,0.0,240,11.0,18.5,1031.8,4
2024-12-26 02:00:00,9.3,7.6,89,0.0,0.0,230,14.0,18.5,1032.0,4
2024-12-26 03:00:00,9.1,7.7,91,0.0,0.0,210,11.0,18.5,1032.3,4
2024-12-26 04:00:00,8.3,6.9,91,0.0,0.0,240,7.0,18.5,1032.1,2
2024-12-26 05:00:00,8.2,7.0,92,0.0,0.0,220,7.0,16.7,1032.2,3
2024-12-26 06:00:00,7.3,6.4,94,0.0,0.0,230,7.0,18.5,1032.2,3
2024-12-26 07:00:00,7.7,6.9,95,0.0,0.0,210,4.0,16.7,1032.3,4
2024-12-26 08:00:00,7.5,6.8,95,0.0,0.0,180,7.0,16.7,1032.6,4
2024-12-26 09:00:00,7.3,6.9,97,0.0,0.0,240,7.0,16.7,1033.3,4
2024-12-26 10:00:00,7.1,6.8,98,0.0,0.0,120,4.0,16.7,1033.5,5
2024-12-26 11:00:00,7.3,7.2,99,0.0,0.0,300,4.0,18.5,1033.6,5
2024-12-26 12:00:00,7.6,7.2,97,0.0,0.0,170,4.0,18.5,1032.9,4
2024-12-26 13:00:00,8.3,7.5,95,0.0,0.0,200,4.0,20.4,1032.8,3
2024-12-26 14:00:00,9.8,7.7,87,0.0,0.0,240,11.0,18.5,1032.5,3
2024-12-26 15:00:00,9.4,7.8,90,0.0,0.0,160,7.0,18.5,1032.5,4
2024-12-26 16:00:00,8.6,7.4,92,0.0,0.0,150,7.0,14.8,1032.5,4
2024-12-26 17:00:00,7.8,7.4,97,0.0,0.0,150,7.0,14.8,1032.4,4
2024-12-26 18:00:00,7.6,7.2,97,0.0,0.0,140,7.0,14.8,1032.6,4
2024-12-26 19:00:00,7.8,7.4,97,0.0,0.0,130,4.0,14.8,1032.7,7
2024-12-26 20:00:00,8.1,7.7,97,0.0,0.0,110,7.0,14.8,1032.9,7
2024-12-26 21:00:00,8.3,7.9,97,0.0,0.0,140,4.0,14.8,1032.5,7
2024-12-26 22:00:00,8.3,7.9,97,0.0,0.0,160,7.0,13.0,1032.8,7
2024-12-26 23:00:00,8.3,7.9,97,0.0,0.0,160,7.0,13.0,1032.8,4
2024-12-27 00:00:00,8.1,8.0,99,0.0,0.0,170,7.0,14.8,1032.4,4
2024-12-27 01:00:00,8.3,7.9,97,0.0,0.0,150,4.0,14.8,1032.2,5
2024-12-27 02:00:00,8.0,7.9,99,0.0,0.0,170,7.0,14.8,1032.0,5
2024-12-27 03:00:00,8.0,7.9,99,0.0,0.0,150,7.0,16.7,1032.1,5
2024-12-27 04:00:00,8.2,7.8,97,0.0,0.0,170,4.0,13.0,1031.7,4
2024-12-27 05:00:00,7.9,7.5,97,0.0,0.0,220,11.0,14.8,1031.7,4
2024-12-27 06:00:00,8.0,7.6,97,0.0,0.0,240,7.0,14.8,1031.7,4
2024-12-27 07:00:00,7.9,7.5,97,0.0,0.0,200,11.0,14.8,1031.9,4
2024-12-27 08:00:00,7.7,7.4,98,0.0,0.0,200,7.0,14.8,1031.9,4
2024-12-27 09:00:00,7.3,7.2,99,0.0,0.0,210,7.0,14.8,1032.2,7
2024-12-27 10:00:00,7.3,7.2,99,0.0,0.0,220,7.0,16.7,1032.3,5
2024-12-27 11:00:00,7.7,7.4,98,0.0,0.0,200,7.0,18.5,1032.2,4
2024-12-27 12:00:00,9.1,7.5,90,0.0,0.0,240,11.0,18.5,1031.5,4
2024-12-27 13:00:00,9.4,7.7,89,0.0,0.0,250,11.0,18.5,1031.0,4
